(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion(μ),Mejor Fitness(μ),Fitness(σ),Tiempo(μ)
100-50-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),18,0.7147 (251 1.0000 0.9525 0.7113 0.4839),0.0036,3.68 min
100-50-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),24,0.7180 (244 0.9999 0.9538 0.7118 0.4928),0.0024,1.88 min
100-50-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),21,0.7183 (248 0.9998 0.9516 0.7175 0.4985),0.0038,3.67 min
100-50-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),16,0.7080 (260 0.9999 0.9428 0.7117 0.4854),0.0064,3.62 min
100-50-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),14,0.7082 (261 0.9999 0.9413 0.7100 0.4913),0.0044,1.84 min
100-50-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),11,0.7089 (256 1.0000 0.9428 0.7104 0.4879),0.0029,3.67 min
100-50-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),25,0.7222 (234 1.0000 0.9550 0.7142 0.4963),0.0039,3.70 min
100-50-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),34,0.7327 (222 0.9999 0.9645 0.7142 0.5168),0.0037,1.92 min
100-50-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),28,0.7220 (237 0.9999 0.9546 0.7164 0.4949),0.0034,3.75 min
100-50-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),21,0.7176 (242 1.0000 0.9517 0.7095 0.4944),0.0052,3.67 min
100-50-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),25,0.7210 (244 0.9999 0.9566 0.7152 0.4923),0.0046,1.89 min
100-50-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),19,0.7166 (251 1.0000 0.9518 0.7116 0.4974),0.0052,3.73 min
100-50-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),13,0.7105 (252 1.0000 0.9455 0.7137 0.4774),0.0025,3.68 min
100-50-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),15,0.7074 (263 0.9999 0.9459 0.7136 0.4783),0.0044,1.85 min
100-50-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),10,0.7061 (260 0.9999 0.9399 0.7123 0.4833),0.0042,3.61 min
100-50-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),28,0.7218 (245 0.9993 0.9588 0.7169 0.4943),0.0041,3.77 min
100-50-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),30,0.7277 (241 0.9996 0.9631 0.7188 0.5107),0.0056,1.91 min
100-50-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),29,0.7230 (251 0.9993 0.9574 0.7198 0.5091),0.0036,3.76 min
100-50-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),19,0.7184 (250 0.9995 0.9545 0.7148 0.4915),0.0033,3.76 min
100-50-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),18,0.7199 (248 0.9999 0.9549 0.7180 0.4988),0.0013,1.92 min
100-50-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),19,0.7145 (259 0.9998 0.9504 0.7137 0.4991),0.0021,3.69 min
100-50-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),11,0.7098 (262 0.9999 0.9468 0.7097 0.4808),0.0066,3.65 min
100-50-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),12,0.7063 (264 0.9998 0.9446 0.7136 0.4774),0.0054,1.86 min
100-50-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),11,0.7088 (248 0.9999 0.9413 0.7177 0.4774),0.0043,3.69 min
100-50-9e-05-0.005-0.005-10,(torneo uniforme elitismo),29,0.7259 (231 0.9995 0.9596 0.7176 0.5021),0.0050,3.74 min
100-50-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),34,0.7279 (236 0.9993 0.9622 0.7184 0.5096),0.0032,1.91 min
100-50-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),25,0.7190 (242 0.9996 0.9530 0.7113 0.5037),0.0059,3.74 min
100-50-9e-05-0.005-0.005-20,(torneo uniforme elitismo),16,0.7179 (249 0.9997 0.9549 0.7142 0.4899),0.0024,3.69 min
100-50-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),21,0.7174 (251 0.9991 0.9534 0.7212 0.4945),0.0040,1.92 min
100-50-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),20,0.7166 (249 0.9994 0.9525 0.7110 0.4954),0.0023,3.71 min
100-50-9e-05-0.005-0.005-50,(torneo uniforme elitismo),13,0.7098 (255 0.9993 0.9450 0.7152 0.4783),0.0050,3.68 min
100-50-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),19,0.7101 (252 0.9992 0.9435 0.7191 0.4821),0.0037,1.85 min
100-50-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),17,0.7058 (257 0.9995 0.9415 0.7142 0.4743),0.0039,3.67 min
100-50-9e-05-0.005-0.05-10,(torneo uniforme elitismo),32,0.7227 (241 0.9991 0.9572 0.7124 0.5059),0.0032,3.79 min
100-50-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),29,0.7258 (239 0.9995 0.9604 0.7152 0.5045),0.0066,1.94 min
